Order_ID,Date,Store_ID,Region,City,Channel,Product_ID,Category,Sub_Category,Customer_ID,Gender,Age,Payment_Method,Quantity,Unit_Price,Discount,Total_Sales,Cost,Profit,Stock_Level,Payment_Mode
14357.0,2024-08-21 04:00:00,18.0,North,Chandigarh,Store,85152.0,Household,Utensils,693695,Female,51,Cash,1,159.65,0.08,146.88,123.24,23.64,177,Cash
3440.0,2023-05-24 07:00:00,17.0,North,Chandigarh,Store,66954.0,Household,Decor,640377,Female,18,Card,1,2863.6,0.01,2834.96,1952.84,882.12,158,Wallet
12154.0,2024-05-21 09:00:00,17.0,South,Bengaluru,Store,17332.0,Grocery,Fruits,994841,Female,50,Upi,7,180.98,0.03,1228.85,1074.39,154.47,239,Cash
15030.0,2024-09-18 05:00:00,4.0,North,Delhi,Store,50510.0,Household,Cleaning,216682,Female,33,Cash,1,2934.51,0.1,2641.06,2173.3,467.76,246,Wallet
18550.0,2025-02-11 21:00:00,42.0,North,Delhi,Store,38153.0,Electronics,Mobiles,257443,Male,49,Cash,2,53839.93,0.12,94758.28,79780.28,14977.99,135,Cash
15763.0,2024-10-18 18:00:00,27.0,East,Kolkata,Store,61075.0,Grocery,Snacks,609150,Female,52,Card,3,153.23,0.11,409.12,389.05,20.08,309,Upi
12314.0,2024-05-28 01:00:00,44.0,East,Patna,Store,33150.0,Grocery,Fruits,560636,Male,28,Upi,1,119.02,0.11,105.93,100.78,5.14,244,Net Banking
16035.0,2024-10-30 02:00:00,86.0,North,Jaipur,Store,91381.0,Grocery,Beverages,185113,Male,18,Wallet,4,209.97,0.17,697.1,668.89,28.21,102,Cash
11497.0,2024-04-24 00:00:00,34.0,North,Delhi,Online,85706.0,Clothing,Kidswear,190812,Female,50,Card,3,2392.0,0.21,5669.04,4795.22,873.82,227,Credit Card
5654.0,2023-08-24 13:00:00,13.0,East,Kolkata,Store,66700.0,Grocery,Snacks,257328,Male,35,Card,1,132.29,0.05,125.68,105.71,19.96,295,Debit Card
5353.0,2023-08-12 00:00:00,3.0,East,Patna,Store,15041.0,Grocery,Beverages,107282,Male,33,Upi,5,174.97,0.1,787.36,730.77,56.59,280,Wallet
5495.0,2023-08-17 22:00:00,3.0,North,Kolkata,Store,93459.0,Household,Cleaning,417314,Female,19,Upi,4,3244.26,0.02,12717.5,10052.49,2665.01,143,Upi
13376.0,2024-07-11 07:00:00,40.0,East,Bhubaneswar,Store,35984.0,Household,Decor,745038,Female,57,Card,1,3620.99,0.07,3367.52,2805.41,562.11,180,Cash
5094.0,2023-08-01 05:00:00,77.0,West,Mumbai,Online,87767.0,Grocery,Fruits,611019,Female,22,Upi,1,54.23,0.11,48.26,44.28,3.99,244,Credit Card
